,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
32,4,0,0,0,0,¬C¬R¬F,311.0,0.8382749326145552,20230221,1,11,2.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20230221,1,11,2.0
34,4,2,0,1,0,¬CR¬F,11.0,0.0296495956873315,20230221,1,11,2.0
35,4,3,0,1,1,¬CRF,0.0,0.0,20230221,1,11,2.0
36,4,4,1,0,0,C¬R¬F,46.0,0.1239892183288409,20230221,1,11,2.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20220602,1,1,2.0
38,4,6,1,1,0,CR¬F,1.0,0.0023640661938534,20220602,1,1,2.0
39,4,7,1,1,1,CRF,0.0,0.0,20220602,1,1,2.0
13,1,5,1,0,1,C¬RF,0.0,0.0,20220524,1,0,2.0
14,1,6,1,1,0,CR¬F,0.0,0.0,20220524,1,0,2.0
15,1,7,1,1,1,CRF,0.0,0.0,20220524,1,0,2.0
37,4,5,1,0,1,C¬RF,1.0,0.0026954177897574,20230221,1,11,2.0
38,4,6,1,1,0,CR¬F,2.0,0.0053908355795148,20230221,1,11,2.0
45,5,5,1,0,1,C¬RF,0.0,0.0,20230111,1,9,2.5
46,5,6,1,1,0,CR¬F,0.0,0.0,20230111,1,9,2.5
46,5,6,1,1,0,CR¬F,1.0,0.0051546391752577,20230313,1,12,2.5
42,5,2,0,1,0,¬CR¬F,0.0,0.0,20230111,1,9,2.5
40,5,0,0,0,0,¬C¬R¬F,420.0,0.9836065573770492,20230111,1,9,2.5
47,5,7,1,1,1,CRF,3.0,0.0154639175257731,20230313,1,12,2.5
40,5,0,0,0,0,¬C¬R¬F,3.0,0.0154639175257731,20230313,1,12,2.5
41,5,1,0,0,1,¬C¬RF,1.0,0.0051546391752577,20230313,1,12,2.5
42,5,2,0,1,0,¬CR¬F,108.0,0.5567010309278351,20230313,1,12,2.5
43,5,3,0,1,1,¬CRF,77.0,0.3969072164948453,20230313,1,12,2.5
44,5,4,1,0,0,C¬R¬F,0.0,0.0,20230313,1,12,2.5
45,5,5,1,0,1,C¬RF,1.0,0.0051546391752577,20230313,1,12,2.5
47,5,7,1,1,1,CRF,0.0,0.0,20230111,1,9,2.5
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20230111,1,9,2.5
43,5,3,0,1,1,¬CRF,0.0,0.0,20230111,1,9,2.5
44,5,4,1,0,0,C¬R¬F,7.0,0.0163934426229508,20230111,1,9,2.5
41,5,1,0,0,1,¬C¬RF,1.0,0.0026595744680851,20230221,1,11,2.5
42,5,2,0,1,0,¬CR¬F,155.0,0.4122340425531915,20230221,1,11,2.5
43,5,3,0,1,1,¬CRF,4.0,0.0106382978723404,20230221,1,11,2.5
44,5,4,1,0,0,C¬R¬F,8.0,0.0212765957446808,20230221,1,11,2.5
45,5,5,1,0,1,C¬RF,3.0,0.0079787234042553,20230221,1,11,2.5
